"SNP_model","predictor","grid","coordinate_1","coordinate_2","coordinate_1_raw","coordinate_2_raw"
"rs929708","SNP",0.909090909090909,0.0174009319398643,0.0171432670318336,0.0177880213274227,0.0177549126905871
"rs929708","SNP",0.919191919191919,0.0122783117174141,0.0136495377993674,0.0116770517917251,0.013168649902704
"rs929708","SNP",0.929292929292929,0.0102454011852488,0.0111128043421981,0.0104821791607169,0.0107782418775035
"rs929708","SNP",0.93939393939394,0.0128945130675997,0.0127664747911796,0.0131007586957519,0.0134565568823129
"rs929708","SNP",0.94949494949495,0.0168726309801709,0.0135107299050257,0.0166062413859603,0.0131594233605664
"rs929708","SNP",0.95959595959596,0.01765639016105,0.00845851802440079,0.0177737155807361,0.00853106796421805
"rs929708","SNP",0.96969696969697,0.0127816327300893,0.00101997658483655,0.012759851004499,0.00104183024624326
"rs929708","SNP",0.97979797979798,0.00703126984147016,-0.00664711697343926,0.00702862234746281,-0.00653275648666136
"rs929708","SNP",0.98989898989899,0.00528996127647408,-0.0131140345657321,0.00529205818925744,-0.0133993176275839
"rs929708","SNP",1,0.00566827618996908,-0.0163198111091925,0.0056683907922875,-0.0161788060294775
"rs929708","intercept",0,0.734629681131827,0.802557005231573,0.721722982931481,0.803104645230613
"rs929708","intercept",0.0101010101010101,0.572081112883028,0.88961242624009,0.591587335734182,0.887598052539877
"rs929708","intercept",0.0202020202020202,0.290393054495538,0.996141539235836,0.289270125302666,0.998801450000749
"rs929708","intercept",0.0303030303030303,-0.0750839287022897,0.989577137934147,-0.073278015253874,0.988435593115466
"rs929708","intercept",0.0404040404040404,-0.445695044041528,0.819961947653017,-0.449099143868158,0.818781706729091
"rs929708","intercept",0.0505050505050505,-0.737530057136762,0.523803023243179,-0.74266983272883,0.525996322004154
"rs929708","intercept",0.0606060606060606,-0.922008683509155,0.22488878584554,-0.924526777800379,0.224188306394325
"rs929708","intercept",0.0707070707070707,-0.995784532421212,0.0410301897709435,-0.994649729836031,0.0396984997712064
"rs929708","intercept",0.0808080808080808,-0.996026723742731,-0.00391464749081143,-0.994639509986091,-0.00223567149935598
"rs929708","intercept",0.0909090909090909,-0.963079374212241,0.0817149123514666,-0.961404518452502,0.0803056871751579
"rs929708","intercept",0.101010101010101,-0.908767791164947,0.254075502106276,-0.90974449454974,0.255282602379411
"rs929708","intercept",0.111111111111111,-0.835150256069144,0.457946782551559,-0.836607531231906,0.457219772853576
"rs929708","intercept",0.121212121212121,-0.748438209198604,0.642064820811657,-0.747145043589425,0.642203781951792
"rs929708","intercept",0.131313131313131,-0.669516640219659,0.777656911903525,-0.668362575386282,0.777851109521832
"rs929708","intercept",0.141414141414141,-0.605118060222424,0.856565284578992,-0.605473303156537,0.856424433402545
"rs929708","intercept",0.151515151515152,-0.555862012817109,0.880051360787121,-0.55516008012993,0.880121077665436
"rs929708","intercept",0.161616161616162,-0.516925095346949,0.871061733386732,-0.516771700285036,0.870895110643465
"rs929708","intercept",0.171717171717172,-0.480570230408517,0.858023319465273,-0.481528912229986,0.858461957455016
"rs929708","intercept",0.181818181818182,-0.436384240313653,0.865243430417464,-0.437009350648715,0.864594390513716
"rs929708","intercept",0.191919191919192,-0.386543618934081,0.89966548234929,-0.386494752373026,0.900189468340142
"rs929708","intercept",0.202020202020202,-0.336320783210242,0.961045808115062,-0.33543155086116,0.960754217804283
"rs929708","intercept",0.212121212121212,-0.289229232617637,1.03781533435232,-0.289104542473797,1.03792889672636
"rs929708","intercept",0.222222222222222,-0.246416617790175,1.11200232644286,-0.246842632257748,1.11196224241896
"rs929708","intercept",0.232323232323232,-0.202894171004371,1.15692240605871,-0.202943481801363,1.15701404315536
"rs929708","intercept",0.242424242424242,-0.158019243237461,1.16461026555602,-0.157616240761274,1.16429602055971
"rs929708","intercept",0.252525252525253,-0.111739183838604,1.13223234390513,-0.112097736697464,1.13299873415887
"rs929708","intercept",0.262626262626263,-0.0612225344531452,1.061145274485,-0.0615444985520323,1.06018269043352
